Formula,Space Group,Band Gap,a,b,c,a=b
TeBr,P-1,0.7762,7.8882,9.3938,25.161,FALSE
NaB(CO2)4,Pmma,2.9269,7.8883,10.369,22.925,FALSE
CdCl2,P-4m2,3.7373,7.8889,7.8889,26.753,TRUE
SI,P-1,1.0089,7.8985,9.2715,25.137,FALSE
Br3N,P2_1/c,1.2154,7.9092,9.5829,24.935,FALSE
VSeO4,P2_1/c,2.6831,7.9097,9.7222,23.427,FALSE
ZnMoF5,P1,2.1987,7.91,7.8264,24.111,FALSE
SbF3,P2_1/c,3.8924,7.9131,7.1447,24.588,FALSE
Ca2Bi10O17,Cm,1.9843,7.918,7.918,27.3,TRUE
Bi3C,P-3m1,0.0003,7.9197,7.9197,21.405,TRUE
MgBi4O9,P2/c,1.4286,7.9212,8.9037,25.247,FALSE
AlSb5,Pmc2_1,0.4062,7.9242,13.765,26.806,FALSE
GaSb5,Pmc2_1,0.5679,7.934,13.932,26.806,FALSE
Y2Te3,P1,0.78,7.9424,7.8189,20.273,FALSE
ZnBi4O9,P2/c,1.4009,7.9452,8.8615,24.306,FALSE
TlTe3Pt2,P-3m1,0.9822,7.9518,7.9518,23.77,TRUE
InSb5,Pmc2_1,0.6101,7.9526,14.116,26.806,FALSE
TlSb5,Pmc2_1,0.7184,7.966,14.138,26.806,FALSE
CuH2(CO2)2,P2_1/c,0,7.9668,8.1063,21.107,FALSE
AsCl3,P2_1/c,3.7493,7.972,9.4964,24.538,FALSE
VI5,P-1,0,7.9737,7.8966,24.519,FALSE
Si2Ag6O7,P2/c,0.7626,7.9919,10.116,23.789,FALSE
K2GeSe4,P2_1/c,1.9014,7.9957,9.0097,29.884,FALSE
Bi2O3,P3m1,2.9846,7.9966,7.9966,23.147,TRUE
UTeO5,Pbcm,1.9804,7.998,10.346,23.974,FALSE
InAs3,P-3m1,0.6545,8.0007,8.0007,21.198,TRUE
MgI2,P-1,3.2651,8.0041,8.0224,23.506,FALSE
CaCl2,P-1,5.6205,8.0043,8.0529,23.514,FALSE
SnBi3,P-3m1,0,8.0077,8.0057,21.405,FALSE
Tl4SnS3,P42_12,1.0172,8.0201,8.0201,24.822,TRUE
BiBr3,P2_1/c,2.5211,8.0209,9.8485,24.383,FALSE
V3I8,P-3m1,0.0106,8.0279,8.0279,23.495,TRUE
TaI4,Pc,0,8.0367,7.1536,22.491,FALSE
BaUI6,P1,0.2911,8.0522,8.1676,23.706,FALSE
AlAs,P4/mbm,1.0785,8.0545,8.0545,"20.0,""",TRUE
ZrTlF5,P2_1/c,5.0599,8.0696,8.0427,25.858,FALSE
Bi3Pb,P-3m1,0,8.0703,8.069,21.405,FALSE
PbSeO3,P2_1/c,3.3704,8.0752,8.8312,27.177,FALSE
AsI4,P-1,0,8.096,6.4535,23.914,FALSE
Sb3O2F5,P2/c,3.8486,8.1031,12.686,26.516,FALSE
Hg2AsCl2,P2/m,1.3778,8.1037,9.0973,30.991,FALSE
TlAs3,P-3m1,0,8.1066,8.1066,21.198,TRUE
AsBr3,P2_1/c,2.91,8.1096,10.076,24.867,FALSE
Cu(BiO2)2,P42_12,0.0647,8.1106,8.1106,21.209,TRUE
GaAs,P4/mbm,0,8.1171,8.1171,"20.0,""",TRUE
As2WO7,P2_1/c,3.2724,8.1248,9.9237,26.995,FALSE
Ca2Ge,Pbcm,0.0434,8.1323,8.1141,28.824,FALSE
Bi3B,P-3m1,1.00E-04,8.1341,8.1341,21.198,TRUE
ThI4,P2_1/c,1.8413,8.1379,14.388,24.54,FALSE
TcSO6F,P2_1/c,2.8269,8.1462,8.9815,25.991,FALSE
LaPb6ClO7,C2/m,2.2017,8.1523,10.065,27.604,FALSE
PF3,P2_1/c,5.67,8.1598,9.4468,24.26,FALSE
SiSb3,P-3m1,0,8.1628,8.1628,21.405,TRUE
LiV2F9,P-1,2.0453,8.163,10.658,22.664,FALSE
Tl2Te3,P1,0.2702,8.1654,7.7532,38.839,FALSE
Bi2PdO4,P42_12,0.492,8.1667,8.1667,22.097,TRUE
SbCl3,P2_1/c,3.3376,8.1682,9.2,24.547,FALSE
TaCo3,P6/mmm,0,8.1696,8.1701,24.03,FALSE
MoNCl3,P-1,1.61,8.1698,9.1701,25.982,FALSE
NaI3O8,P-4,3.421,8.1705,8.1705,24.573,TRUE
