Formula,Space Group,Band Gap,a,b,c,a=b
Ca3SiBr2,Pmmm,0.7999,4.5129,5.8445,24.856,FALSE
CaPbI4,P2/m,2.9792,4.5172,7.9089,23.816,FALSE
P2Se3,Pc,1.821,4.5174,11.428,22.708,FALSE
CdAs,P-6m2,0,4.5209,4.5209,20.274,TRUE
GePb,P3m1,0,4.5214,4.5214,20.769,TRUE
BiPd,P-6m2,0,4.5218,4.528,20,FALSE
SrC2,Cmme,0,4.5235,4.6869,23.148,FALSE
TlPbI3,Pmma,2.0066,4.524,12.917,27.708,FALSE
KH2I3O,Pc,1.9436,4.5241,8.4493,29.205,FALSE
BaIF,P4/nmm,4.3368,4.5241,4.5241,25.642,TRUE
BiTe,P4/nmm,0,4.5242,4.5242,23.274,TRUE
KBr,P4/mmm,4.4071,4.5251,4.5251,"20.0,""",TRUE
Te3As2,Pc,1.0093,4.5253,13.04,22.708,FALSE
AgClO2,Cmme,1.2302,4.5263,4.5263,24.65,TRUE
AgHgSI,Pmma,0.8623,4.5264,10.236,30.668,FALSE
Be5Rh,Pmc2_1,0,4.5268,4.347,25.788,FALSE
IrC4,P4/nbm,0,4.5269,4.5269,22.924,TRUE
BeF2,C2,7.188,4.5291,4.8465,22.655,FALSE
K2Br,P-3m1,0,4.5294,4.5294,23.407,TRUE
Te3N2,Pc,0.965,4.5299,10.479,23.079,FALSE
Sr2As,P-3m1,0,4.5316,4.5316,23.013,TRUE
RbCl,P4/mmm,4.6021,4.5331,4.5331,"20.0,""",TRUE
Ca2P,P-4m2,0,4.5347,4.5368,22.957,FALSE
KClO3,P2_1/m,5.5369,4.5353,5.5355,24.133,FALSE
BiPt,P-6m2,0,4.5357,4.5394,20,FALSE
Au18S11,P1,0,4.5367,4.0537,52.398,FALSE
Si2O3,P2_1/c,1.423,4.5381,6.5692,25.59,FALSE
AgBr,P-6m2,1.7543,4.5395,4.5395,"20.0,""",TRUE
Sn3Bi4,C2,0,4.5408,4.5408,27.808,TRUE
As2O3,Pc,4.322,4.5425,5.4093,23.912,FALSE
PF3,P2_1/c,4.4809,4.5428,4.991,24.743,FALSE
SiF3,P1,3.8876,4.5433,7.212,24.133,FALSE
SrBr2,P-3m1,5.0827,4.5446,4.5446,23.529,TRUE
Sr2As,Pmmn,0,4.5451,6.1182,26.444,FALSE
MgP,Pmm2,0,4.5457,3.6152,27.111,FALSE
Sb2Te3,Pc,0.8102,4.5475,13.936,23.079,FALSE
HgSe,P4/nmm,0.4754,4.5487,4.5487,22.99,TRUE
Si,Pmmm,0,4.5521,4.5521,22.532,TRUE
Na2I,Pmma,0,4.5569,7.4973,23.993,FALSE
EuTe,P4/mmm,0,4.5571,4.5571,25.905,TRUE
VOF3,P2_1,2.5673,4.5585,4.5956,24.118,FALSE
InI,P4mm,1.414,4.5601,4.5601,22.485,TRUE
ZrTe,P4/nmm,0,4.5613,4.5613,22.865,TRUE
CaBr2,P-4m2,4.8495,4.5615,4.5615,22.656,TRUE
SrMnSn,P4/nmm,0,4.5618,4.5618,25.136,TRUE
BaC2,P-3m1,0.4971,4.5619,4.5619,24.445,TRUE
Te2SO7,Pmn2_1,3.2462,4.562,9.0577,28.852,FALSE
HoCoSn2,Pmmn,0,4.5634,4.3425,29.064,FALSE
NaMnTe2,P3m1,0,4.5641,4.5641,25.655,TRUE
Ge2O5,Pnc2,0.1712,4.5649,5.6282,24.876,FALSE
NaN3,P-6m2,0.6477,4.5649,4.5649,22.3,TRUE
TlAs,P-6m2,0,4.565,4.565,20,TRUE
Bi2Pb,Pmc2_1,0.268,4.566,12.013,25.607,FALSE
AlF,Pmmn,0.92,4.5669,2.6546,23.633,FALSE
KCrIO6,P2_1/c,2.6847,4.5673,14.214,27.911,FALSE
SnTe,Aem2,1.1394,4.568,4.568,22.841,TRUE
SmSI,P-3m1,2.8746,4.568,4.568,27.709,TRUE
Tl3Rh,P-6m2,0,4.5689,4.5689,25.13,TRUE
Pt3Se4,P2/m,0,4.5706,6.8021,25.197,FALSE
SbTe,P-1,0,4.5711,4.8991,22.849,FALSE
GaI,P4mm,2.0287,4.5715,4.5715,22.485,TRUE
LiVBO4,P2_1/m,1.2678,4.5726,5.8456,24.514,FALSE
LiFeBO4,P2_1/m,0.002,4.5748,5.9344,22.539,FALSE
BaLaBr5,P2_1/m,3.2332,4.5751,16.212,24.956,FALSE
SrI2,Pmma,2.1959,4.5765,8.2672,23.548,FALSE
PbI2,P-3m1,2.5868,4.5783,4.5783,23.71,TRUE
KTe2F9,P-1,4.3597,4.5787,8.9799,28.342,FALSE
Mg2Sb,Pmmn,0,4.5817,4.8152,28.402,FALSE
Zn(AsO2)2,P2_1,3.5759,4.5842,5.0443,25.987,FALSE
SeN,Pmc2_1,0.013,4.5845,13.842,23.134,FALSE
BaBr2,Pmma,2.6463,4.5864,8.5631,23.548,FALSE
SnPHO4,Pc,3.645,4.5872,5.8231,26.512,FALSE
CuH4(IO4)2,P2_1/c,0.848,4.5873,11.426,26.292,FALSE
Be5Ir,Pmc2_1,0,4.5901,4.3846,25.788,FALSE
Ba2P,P-3m1,0,4.5925,4.5925,25.233,TRUE
Pd3Se4,P2/m,0,4.5939,4.6613,25.162,FALSE
As3HO6,P2_1,3.8283,4.5948,12.704,22.415,FALSE
P4Pb3,C2,0,4.5955,4.5955,27.863,TRUE
Ca2Sb,P-3m1,0,4.5979,4.5979,23.013,TRUE
Bi,P2_1/m,0.0844,4.5983,4.6006,23.788,FALSE
CdTe,P3m1,0,4.5987,4.5987,56.585,TRUE
SrLaI5,P2_1/m,2.3629,4.5994,17.214,25.51,FALSE
AsCl3,P-6m2,1.1699,4.6007,4.6007,24.623,TRUE
Te3P2,Pc,1.2347,4.6016,12.547,23.079,FALSE
BiPb,P-1,0.3038,4.6022,13.566,24.967,FALSE
RbPbF3,P2_1/m,4.1896,4.6052,4.7197,26.397,FALSE
Ba2P,Pmmn,0,4.6062,6.4606,26.808,FALSE
Rb2Cl,P-3m1,0,4.6075,4.6075,23.407,TRUE
BiTe,P2_1/m,0,4.6075,4.9165,22.849,FALSE
MgAu,P6/mmm,0,4.6081,4.6081,24.159,TRUE
LiFeF4,P-42m,4.1101,4.6093,4.6093,21.578,TRUE
Tl3Ir,P-6m2,0,4.6098,4.6098,25.13,TRUE
MoAs2O7,P2_1/c,2.8827,4.6107,19.206,26.022,FALSE
TlTe,P3m1,0,4.6132,4.6132,21.25,TRUE
MgAg,P6/mmm,0,4.6135,4.6135,24.159,TRUE
Ag(TeMo)6,C2/m,0,4.6138,9.4318,26.567,FALSE
TlAs,P4/nmm,0,4.6148,4.6148,23.942,TRUE
BiPb,C2/m,0.2985,4.6157,13.569,24.728,FALSE
Ag2S,P6/mmm,0,4.6172,4.6172,24.537,TRUE
PdCl2,P-1,0.1593,4.6177,4.6047,24.866,FALSE
CdTe,P4/nmm,1.3042,4.6187,4.6187,22.99,TRUE
TeN,Pmc2_1,0,4.6188,16.907,23.134,FALSE
Li2MnF6,P2_12_12,2.8752,4.6229,4.8323,26.472,FALSE
Mg2Sb,P-3m1,0,4.623,4.623,23.013,TRUE
Au2S,Pmc2_1,1.0821,4.6232,7.0497,23.357,FALSE
TePb,P4/nmm,1.235,4.6234,4.6288,23.352,FALSE
TlF3,Pmc2_1,2.5628,4.6245,5.9013,22.613,FALSE
NdB4,P4/mmm,0,4.6281,4.6281,20.017,TRUE
LaO3,Cmmm,0,4.6282,7.552,22.344,FALSE
TlBr,P4mm,1.8209,4.6285,4.6285,22.485,TRUE
ZnBi,P3m1,0,4.6301,4.6301,20.274,TRUE
InSb,P4/nmm,0,4.6305,4.6305,23.942,TRUE
Au2S,P6/mmm,0,4.6312,4.6312,24.537,TRUE
Na4Br2O,P4/mmm,0,4.6313,4.6313,30.519,TRUE
TlN,P4/nmm,0,4.6317,4.6317,23.942,TRUE
LiCu(PO3)2,P2/c,2.4231,4.6321,10.064,25.913,FALSE
NaMgAs,P4/nmm,0,4.6329,4.6329,29.123,TRUE
IrC3,P4/mbm,0,4.633,4.633,25.635,TRUE
Ge3Sb4,C2,0,4.6338,4.6338,27.843,TRUE
TlN5,Pmc2_1,2.7206,4.6382,9.1299,26.806,FALSE
Ca2As,P-4m2,0,4.6385,4.698,22.957,FALSE
PaN2,P4/mmm,0,4.6389,4.6389,22.513,TRUE
GaBi,P-6m2,0,4.6399,4.6399,"20.0,""",TRUE
As2O3,P2_1,3.9015,4.6403,8.1993,22.195,FALSE
ReF3,C2/m,0,4.6406,4.6406,22.061,TRUE
HgTe,P4/nmm,0,4.6412,4.6412,22.99,TRUE
TlBr,P4/nmm,2.9148,4.6419,4.6663,23.438,FALSE
CaN2,Cm,0.0783,4.6423,6.032,24.98,FALSE
InF3,Pmc2_1,4.1775,4.6424,5.5753,22.613,FALSE
SeN,Pc,0.0228,4.6438,15.044,23.12,FALSE
SnPO3F,Pc,3.8544,4.6456,5.967,24.073,FALSE
Cr3O8,P-1,0.8854,4.6506,4.918,25.603,FALSE
TeHO3,P2_1,2.5196,4.6523,8.068,25.16,FALSE
Mn(CO3)2,P-3,1.3293,4.6526,4.6526,22.248,TRUE
TeN,Pc,0.1038,4.6538,19.488,23.12,FALSE
Sn,P-3m1,0.0008,4.6588,4.6578,20.688,FALSE
SnPO3,Pc,0.3769,4.6611,5.997,24.305,FALSE
MnF4,P2_1/c,0.0326,4.6624,5.3326,23.11,FALSE
TlAsO4,P-42m,1.4709,4.6647,4.6647,22.22,TRUE
Be(BC)2,Pmm2,0,4.6679,5.4518,23.639,FALSE
TlI,P4mm,1.2169,4.6681,4.6681,22.485,TRUE
CaAg,P6/mmm,0,4.671,4.671,24.159,TRUE
CdTe,P3m1,0,4.6721,4.6693,56.55,FALSE
I5N,P2/m,0,4.6722,9.9996,23.758,FALSE
PBr3,P-6m2,0.3888,4.6722,4.6722,24.623,TRUE
Ca2Bi,P-3m1,0,4.6726,4.6726,23.013,TRUE
RbPbF3,P-1,4.0259,4.6733,4.6766,36.83,FALSE
Ag2S,P2_1/m,1.5692,4.6746,6.0541,25.796,FALSE
Mg3P2(HO)16,P2/m,3.7554,4.675,10.087,27.546,FALSE
NaN3,P2/m,0.891,4.6815,6.676,"20.0,""",FALSE
Ag2Se,P6/mmm,0,4.6826,4.6826,24.537,TRUE
BaC2,Cmme,0,4.6834,4.9023,23.148,FALSE
InBi,P4/nmm,0,4.6857,4.6857,23.982,TRUE
C2O3,P2_1/m,2.9286,4.6859,6.4018,25.956,FALSE
PtCl2,P-1,0.0325,4.6865,4.4136,24.768,FALSE
HgTe,P3m1,0,4.6884,4.6879,56.585,FALSE
Pt(NO3)2,P-3,0,4.6912,4.6912,22.565,TRUE
LiNiPO4,P2_1/m,3.7121,4.6914,6.1373,23.151,FALSE
SnH,P-3m1,0.5032,4.6923,4.6923,23.722,TRUE
CaAu,P6/mmm,0,4.6928,4.6928,24.159,TRUE
Sn3H,P-3m1,0,4.693,4.693,30.11,TRUE
LiCoSiO4,P2_1/m,0.8125,4.694,6.2486,24.398,FALSE
Sr3C,P4mm,0,4.6942,4.6945,22.353,TRUE
HgTe,P3m1,0,4.695,4.6941,56.55,FALSE
Ba2As,P-3m1,0,4.6978,4.6978,22.747,TRUE
BF,P4/nmm,3.9398,4.6983,4.6983,14.943,TRUE
InF,Pbcm,2.1104,4.6986,5.747,23.094,FALSE
Ag18Se11,P1,0,4.6999,4.0454,52.47,FALSE
AuI,P-6m2,0.0432,4.701,4.701,"20.0,""",TRUE
CuSeO3,P-1,0,4.7038,10.589,27.247,FALSE
AlCl3,Pmma,3.3129,4.7049,6.7568,22.97,FALSE
K2I,P-3m1,0,4.7051,4.7051,23.407,TRUE
Au2Se,Pmma,0.2605,4.706,6.2306,23.07,FALSE
Au2Se,P6/mmm,0,4.7063,4.7063,24.537,TRUE
I(NO3)2,P-3,0,4.7132,4.7132,24.836,TRUE
Ba2As,Pmmn,0,4.7143,6.5645,27.172,FALSE
S(IO3)2,C2,2.1161,4.7171,7.9917,21.857,FALSE
LiRe(OF2)2,P-42_1m,3.097,4.7171,4.7171,27.12,TRUE
MgV2S5,Pmmn,0.7,4.7185,13.736,25.064,FALSE
LiCrSiO4,P2_1/m,3.0125,4.7186,6.2096,24.428,FALSE
C3N4,C2,2.2661,4.7201,4.7036,20.784,FALSE
SrAg,P6/mmm,0,4.7205,4.7205,24.159,TRUE
C2O3,P2_1/c,6.0529,4.7207,7.6433,25.553,FALSE
K2Br,Pmma,0,4.7235,8.5419,23.993,FALSE
BeF2,C2/m,8.2824,4.7244,4.7255,23.517,FALSE
Ca2Sb,Pmmn,0,4.7257,6.0769,25.671,FALSE
CN3,P-3m1,0.0009,4.726,4.726,21.405,TRUE
TeHO3,P1,1.8807,4.7275,8.0077,25.764,FALSE
Li2Cr3(CO3)6,P-1,0,4.7277,12.518,23.601,FALSE
LiBiO2,Pbcm,2.2825,4.7296,5.277,26.282,FALSE
TlTe,P-6m2,0.4846,4.7303,4.7303,27.147,TRUE
CdHgAsBr,Pmma,1.3832,4.7304,10.984,29.698,FALSE
BaCaI4,P2/m,3.7336,4.7304,8.3659,23.798,FALSE
SrI2,P-3m1,4.0722,4.731,4.731,22.742,TRUE
Fe3P2(HO)16,P2/m,2.3251,4.7327,10.19,27.067,FALSE
LiCoPO4,P2_1/m,2.7095,4.7336,6.18,24.434,FALSE
HgTe,P3m1,0.006,4.734,4.734,20.166,TRUE
LiClO2,P-42_1m,3.4167,4.7344,4.7344,23.756,TRUE
SiCl4,P4/mmm,1.3023,4.7366,4.7366,23.993,TRUE
SbPO4,Pmc2_1,3.1908,4.7374,9.7021,22.399,FALSE
ScF3,Pmc2_1,6.0864,4.7389,5.3442,22.434,FALSE
HgSBr,P2_1/m,0,4.7391,8.0214,22.913,FALSE
CuPO3,P2_1/c,1.215,4.7401,12.14,27.977,FALSE
CrF4,P1,1.821,4.7437,4.9567,22.737,FALSE
CaI2,P-4m2,4.0132,4.744,4.744,22.656,TRUE
LiFeSiO4,P2_1/m,2.1525,4.7461,6.2289,24.476,FALSE
LiVSiO4,P2_1/m,2.3013,4.7466,6.291,24.439,FALSE
As4Pb3,C2,0,4.7475,4.7475,27.856,TRUE
NaEr(SO4)2,P2_1/m,5.1483,4.7479,6.7506,30.718,FALSE
Fe(CO3)2,P-3,0,4.7481,4.7481,22.326,TRUE
Ni(ClO4)2,P-3,4.0315,4.7501,4.7501,26.356,TRUE
TlSb,P4/nmm,0,4.7516,4.7516,23.942,TRUE
As3(HO2)5,P-1,3.4169,4.752,7.4966,26.99,FALSE
GeWO4,P2/c,2.5046,4.7525,5.0532,24.399,FALSE
Li2Mn(PO4)2,P-1,1.3615,4.7536,4.9054,29.105,FALSE
Zn3N,P6/mmm,0,4.7538,4.7538,20,TRUE
Ca3Si,P4mm,0.1315,4.7539,4.7592,22.353,FALSE
As,Pbam,0,4.7546,7.4636,24.52,FALSE
Rb2Br,P-3m1,0,4.7547,4.7547,23.407,TRUE
BaP2,C2/m,0.306,4.7558,7.8511,24.98,FALSE
Li2Te2O5,P2_1/c,3.7203,4.7563,12.264,26.761,FALSE
InSb,P-6m2,0,4.7598,4.7598,"20.0,""",TRUE
CrPO4,C2/m,1.9945,4.7598,4.7598,26.507,TRUE
BaLaI5,P2_1/m,2.4471,4.7614,17.462,25.424,FALSE
Mn2F5,P2/c,0,4.7615,5.2996,25.144,FALSE
Ag2Se,Pmma,0.9976,4.7616,5.9908,23.357,FALSE
Pb2O3,P4/nmm,1.8143,4.7633,4.782,25.526,FALSE
BaCl2,P-3m1,5.7191,4.7646,4.7646,23.529,TRUE
NpCl3,P-6m2,0.0017,4.7652,4.7652,24.791,TRUE
AgI,P3m1,1.7484,4.7664,4.7664,20.195,TRUE
Mg2Bi,Pmmn,0,4.7678,4.8928,29.004,FALSE
GaF,Pbcm,2.8418,4.7681,5.2723,23.094,FALSE
Ba3C,P4mm,0,4.7687,4.7834,22.353,FALSE
As2SO6,P2_12_12,4.2166,4.7689,11.285,23.368,FALSE
Sr2P,P-4m2,0,4.7695,4.8069,22.957,FALSE
AsAuO3,P2/c,1.1237,4.7704,11.994,24.909,FALSE
CoH2SeO4,Pc,2.5942,4.7719,5.6879,23.957,FALSE
AsS,P4/nmm,0,4.7745,4.7745,21.297,TRUE
Ag2SeO4,C222,1.5468,4.7746,6.4983,22.026,FALSE
PbO,Pbcm,2.6469,4.7749,5.5938,22.719,FALSE
TlP,P4/nmm,0,4.7754,4.7754,23.942,TRUE
VCl4,P4/mmm,0,4.7756,4.7756,23.812,TRUE
SrCl2,P-4m2,5.3521,4.7765,4.7765,22.656,TRUE
BSbO3,P-1,4.2836,4.7778,5.8969,22.905,FALSE
OsF3,P-31m,0.0885,4.7788,4.7788,22.681,TRUE
Mn(PO4)2,P-1,0,4.7793,4.9373,26.001,FALSE
Ca3Ge,P4mm,0.1376,4.7808,4.785,22.353,FALSE
SrAu,P6/mmm,0,4.7813,4.7813,24.159,TRUE
NF3,Pmn2_1,6.1752,4.7816,7.0747,23.123,FALSE
YC3,P-6m2,0,4.7818,4.7818,"20.0,""",TRUE
Sn,P6/mmm,0,4.7824,4.7947,19.996,FALSE
Rb2Cl,Pmma,0,4.7861,8.724,23.993,FALSE
NaTm(SO4)2,P2_1/m,5.199,4.7861,6.7173,29.955,FALSE
Ag18Te11,P1,0,4.7864,4.8303,52.82,FALSE
MgTi,Pmmn,0,4.7864,5.9584,28.767,FALSE
Co(ClO4)2,P-3,3.0358,4.7864,4.7864,26.246,TRUE
CrSb(PO4)2,P2_1/m,1.9731,4.787,5.8121,31.105,FALSE
TlBi,P4/nmm,0,4.7872,4.7872,23.942,TRUE
BN3,P-3m1,1.2639,4.7878,4.7878,21.198,TRUE
AgClO4,P-42m,2.9247,4.7889,4.7889,21.726,TRUE
Mg2Sb,P-4m2,0,4.7922,4.7895,22.957,FALSE
NCl4,P1,0.7263,4.7924,6.6924,22.595,FALSE
BiF3,Pmn2_1,5.1962,4.7924,6.0764,23.123,FALSE
Rb3Mn2Cl7,P4/mmm,0.7167,4.7943,4.7943,30.486,TRUE
ReF4,P2_1/c,0.1066,4.7961,5.7061,23.115,FALSE
MgWF4,Pccm,2.3593,4.797,11.029,21.623,FALSE
Ti2ZnS5,Pmmn,0.8881,4.7976,13.521,23.201,FALSE
VZnF4,P-1,0,4.7992,5.7309,26.012,FALSE
SnPb,P3m1,0,4.7995,4.7995,20.769,TRUE
NaSbO2,Pca2_1,3.4087,4.8003,6.382,25.544,FALSE
MnH2SO4,Pc,4.1741,4.8011,5.7729,25.872,FALSE
Sr2Sb,P-3m1,0,4.8022,4.8022,23.013,TRUE
CdSb,P3m1,0,4.8024,4.8024,20.274,TRUE
Tl2Cu3(SeO3)6,P-1,0.1629,4.804,9.5917,27.983,FALSE
SbAsO4,P2_1/m,3.5221,4.8053,7.0774,23.39,FALSE
BaI2,Pmma,1.9404,4.8061,8.9352,23.548,FALSE
HfMg6Nb,Pmm2,0,4.8062,6.1412,23.964,FALSE
SO2,P2_1/c,3.0317,4.807,6.2618,24.173,FALSE
CrO3,Pc,0.935,4.808,4.791,22.353,FALSE
LiIn(IO3)4,P-1,3.1383,4.8082,6.493,27.114,FALSE
PdBr2,P-1,0.0948,4.8094,4.5374,24.925,FALSE
B13P2,P-3m1,0,4.8099,4.8099,25.085,TRUE
ZnH2SeO4,Pc,4.4671,4.81,5.7288,23.945,FALSE
PuCl3,P-6m2,0,4.8106,4.8113,24.728,FALSE
Ni(WO4)2,P-1,1.293,4.8106,5.0539,25.287,FALSE
TaF5,P-1,5.883,4.8128,5.3091,29.867,FALSE
CrSi3,P6/mmm,0,4.8131,4.8131,"20.0,""",TRUE
Li2V3(CO3)6,P-1,0.6639,4.8146,12.594,24.523,FALSE
NaAu(SO4)2,P-1,1.8368,4.8178,8.0135,26.403,FALSE
Ag2Te,P6/mmm,0,4.8222,4.8222,24.537,TRUE
TeAu2,P6/mmm,0,4.8226,4.8226,24.537,TRUE
AsBr3,P-6m2,0.7732,4.8229,4.8229,24.623,TRUE
BaAg,P6/mmm,0,4.8235,4.8235,24.159,TRUE
LiFePO4,P2_1/m,3.8925,4.8237,6.2258,23.051,FALSE
TiCl4,P4/mmm,0.7493,4.8261,4.8261,23.891,TRUE
GeF4,P2_1/c,4.4548,4.8271,5.3527,22.462,FALSE
V(CO3)2,P-3,1.4628,4.8276,4.8276,22.222,TRUE
CO2,P3m1,0.0284,4.8283,4.8283,22.029,TRUE
SbPO4,P2_1/m,4.3643,4.8301,6.7919,22.993,FALSE
BaTe2F10,P2/c,5.2169,4.8311,10.224,26.603,FALSE
CBr4,P4/mmm,0,4.8327,4.8327,23.993,TRUE
ZnMoO4,P2/c,3.0685,4.8349,4.8233,24.373,FALSE
FeSb(PO4)2,P2_1/m,1.9044,4.8373,5.9095,31.219,FALSE
Te11Au18,P1,0,4.8378,4.6184,52.643,FALSE
NiI2,P-1,0,4.8393,4.553,24.989,FALSE
ZnSiO3,P-31m,3.259,4.8399,4.8399,23.657,TRUE
NbF4,P2_1/c,0.1274,4.8404,7.8669,25.827,FALSE
Ca2Bi,Pmmn,0,4.8434,6.1306,26.783,FALSE
LiCu2(CO3)2,P1,0,4.8442,5.0523,23.563,FALSE
TaF4,P2_1/c,0.1532,4.8451,7.8626,25.831,FALSE
Li2Cr(PO4)2,P-3,0,4.8454,4.857,29.658,FALSE
Li4Co(PO4)2,P-1,3.0277,4.8486,6.0978,24.545,FALSE
SiP2,P-42_1m,1.9102,4.8504,4.8504,21.526,TRUE
PF3,Fmmm,0.8511,4.8512,4.8512,23.398,TRUE
CoAsS,Pca2_1,0,4.8517,7.1811,23.424,FALSE
KI,P4/mmm,4.0528,4.8519,4.8519,"20.0,""",TRUE
TaF3,P-31m,0,4.8533,4.8533,22.719,TRUE
NaMgSb,P4/nmm,0,4.8554,4.8554,26.896,TRUE
SbCl3,P-6m2,1.3103,4.8597,4.8597,24.623,TRUE
Cu(IO3)2,P2_1/m,0.4268,4.8608,6.3806,26.699,FALSE
Cr3O8,P2/m,0,4.8609,5.9668,22.03,FALSE
Ag2Te,Pmma,0.4092,4.8616,5.8889,23.07,FALSE
LiCoPO4,P-31m,0,4.8621,4.8621,30.116,TRUE
Sb2WO6,P2_1/c,1.131,4.8629,5.6133,28.245,FALSE
PtBr2,P-1,0.0309,4.8636,4.5991,24.88,FALSE
Co2C2O7,C2,0.7152,4.8637,4.865,24.998,FALSE
Cr(PO4)2,P-1,0,4.8638,5.013,26,FALSE
Au18Se11,P1,0,4.8648,4.2993,52.772,FALSE
Co(ClO3)2,C2/m,0.2801,4.8697,6.072,22.732,FALSE
ZnWO4,P2/c,3.8625,4.8699,4.8501,24.457,FALSE
TeAu2,Pmc2_1,0.1991,4.8711,5.9847,23.357,FALSE
Ta2CrO8,P2/c,0,4.8721,5.1644,27.294,FALSE
Pb2CO6,P3m1,0,4.8732,4.8732,25.089,TRUE
V3O2F5,Pmc2_1,1.2173,4.8741,5.0918,27.612,FALSE
GaH5(NF)2,P2/m,2.8144,4.8745,5.8896,25.019,FALSE
SnTe,Pmna,0.1334,4.8757,8.3384,24.071,FALSE
B13As2,P-3m1,0,4.8768,4.8768,25.085,TRUE
SnSe,Pmna,0.0871,4.877,7.8033,24.071,FALSE
Li2Fe(PO4)2,P-3,0,4.8773,4.8771,30.218,TRUE
V(WO4)2,P-1,1.924,4.8792,5.2316,25.384,FALSE
VSb(PO4)2,P2_1/m,1.8884,4.8793,5.9519,31.241,FALSE
SnS,Pmna,0.1236,4.8803,7.4535,24.071,FALSE
Sr2Bi,P-3m1,0,4.8809,4.8809,23.013,TRUE
TaCl4,P4/mmm,0,4.8815,4.8815,23.812,TRUE
FeTe(PO4)2,Pm,0.9183,4.883,9.8598,22.443,FALSE
BaNiSn3,P4mm,0,4.885,4.885,23.559,TRUE
LiMnF5,P2_1,2.3728,4.8851,5.7262,24.477,FALSE
Li2V(CO3)2,P-3,2.496,4.886,4.886,24.224,TRUE
Pb,P-3m1,0,4.8907,4.9224,20.688,FALSE
Sr2Sb,Pmmn,0,4.892,6.4352,27.291,FALSE
CuHClO,P2_1/c,0.2189,4.8922,6.1656,23.775,FALSE
LiMn2F9,P-1,1.3347,4.8924,9.2222,27.937,FALSE
BaAu,P6/mmm,0,4.8936,4.8936,24.159,TRUE
Sr4As2O,P4/mmm,0,4.8948,4.8948,31.98,TRUE
Li2V(PO4)2,P-3,0,4.8977,4.8765,30.104,FALSE
Mg2Ni3O8,P2/m,0.9764,4.8978,5.7388,21.674,FALSE
Te(HO2)2,P2_1/c,1.9849,4.8994,5.2492,24.125,FALSE
Ti(WO4)2,P-1,2.7574,4.9,5.2041,25.403,FALSE
Li4Fe(PO4)2,P-1,4.1115,4.9004,6.1236,21.654,FALSE
Sn3Sb4,C2,0,4.901,4.901,27.842,TRUE
GeCl4,P4/mmm,0.6705,4.9016,4.9016,23.993,TRUE
VS3,P-1,0.1593,4.9018,6.4979,26.332,FALSE
TlSb,P-6m2,0,4.9036,4.9036,"20.0,""",TRUE
Sb(MoO4)2,P2/c,0,4.9037,5.4858,29.45,FALSE
Zn2SiO4,P2_1/m,2.8389,4.9051,6.2157,24.593,FALSE
Zn2Ni3O8,P2/m,0.9456,4.9061,5.7465,23.979,FALSE
AgBrO4,P-4,1.4662,4.9062,4.9062,21.851,TRUE
PdSeO3,C2/m,0.4524,4.9073,4.9073,24.371,TRUE
Nb2CrO8,P2/c,0.488,4.9074,5.9547,27.473,FALSE
BaBr2,P-3m1,4.9739,4.9089,4.9089,23.529,TRUE
Cu2Te,P2_1,0.0382,4.9124,4.936,22.518,FALSE
AlF3,C2/m,8.4202,4.9125,4.9136,23.264,FALSE
P2O5,Pmn2_1,5.2256,4.9132,7.351,25.596,FALSE
Te3SeO8,P-1,2.7611,4.9134,6.8957,29.78,FALSE
LiAsO3,P-31m,3.6967,4.9135,4.9135,22.551,TRUE
Te(HO2)2,Pc,2.0251,4.9147,5.245,24.185,FALSE
LiMnPO4,P2_1/m,3.2106,4.9153,6.2964,23.113,FALSE
VF4,P2_1/c,1.9063,4.918,9.6575,24.488,FALSE
Cr(WO4)2,P-1,1.1433,4.9182,5.1252,25.403,FALSE
H3BrO,Cm,5.2283,4.9241,5.0487,21.069,FALSE
Ta2F5,P1,0.3335,4.9243,4.9186,24.923,FALSE
NbCl4,P4/mmm,0,4.9248,4.9248,23.812,TRUE
Al(HO)3,Cm,4.3458,4.9255,5.113,23.931,FALSE
LiFe2C2O7,P1,2.4768,4.926,4.9527,26.5,FALSE
Sn2P3O10,P2_1/m,0,4.9262,8.7335,29.387,FALSE
As2PHO6,P2_1,4.5271,4.927,10.513,23.927,FALSE
BN,P4/mbm,4.0977,4.9289,4.9304,19.992,FALSE
VOF3,Pc,3.1066,4.9303,5.6736,23.078,FALSE
Ca2Sb,Pmm2,0,4.9305,5.1067,22.957,FALSE
PI3,P-6m2,0.1009,4.9307,4.9307,24.623,TRUE
Ca3Sn,P4mm,0.3249,4.9309,4.9308,22.353,TRUE
Fe2C2O7,C2,2.1099,4.9322,4.9381,24.995,FALSE
SrBr2,P-4m2,4.6674,4.9324,4.9324,22.656,TRUE
Ba2P,P-4m2,0,4.9329,4.9389,22.957,FALSE
Tc2F5,P2/c,0,4.9334,5.4868,25.171,FALSE
CuH2SO5,P-1,0.2338,4.9351,7.6274,25.437,FALSE
LiSb3,P-6m2,0,4.9368,4.9368,22.3,TRUE
Mg(BrO3)2,C2/m,4.2246,4.9379,4.9379,23.412,TRUE
Si3W,P6/mmm,0,4.938,4.938,"20.0,""",TRUE
Ba2HfS4,P4/mmm,0,4.9383,4.9383,31.354,TRUE
InCu(MoO4)2,P2/c,1.1614,4.9383,9.9141,24.419,FALSE
