Formula,No. of Elements,Discovery Process,Space Group,Point Group,Crystal System,Band Gap,Is Gap Direct?,a,b,c
Se,1,bottom-up,P4/mmm,mmm,tetragonal,0.0,False,2.65401704,5.28376768,19.985261
Pb,1,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.8907097,4.922400851244992,20.688228
Tl,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.13594196,3.13594196,20.0
B,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,1.75633274,1.75633274,20.0
N2,1,bottom-up,P-3m1,-3m,trigonal,3.811,False,2.2935704900852927,2.2934651916384037,21.522725
Cl2,1,bottom-up,Pbam,mmm,orthorhombic,2.3431,False,4.05599846,8.09905766,19.861582
Si,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.4250456180326045,2.4250456539148453,20.0
In,1,bottom-up,Pmma,mmm,orthorhombic,0.0,False,3.00759205,3.12815643,22.343883
Sn,1,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.3716981300000004,3.37169876931891,22.485215
Tl,1,bottom-up,Pmma,mmm,orthorhombic,0.0,False,3.15024344,3.23420886,22.343883
Pd,1,bottom-up,P-3m1,2/m,trigonal,0.0,False,2.696529229786,4.663903130925597,22.024152
N2,1,bottom-up,P4/mmm,4/mmm,tetragonal,3.3066999999999993,True,3.79007163,3.79007163,20.0
Mg,1,bottom-up,Cmmm,mmm,orthorhombic,0.0,False,5.421932495445434,5.421932422968632,20.0
Ge,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.576611458021618,2.576611510447777,20.0
As,1,bottom-up,Pm,m,monoclinic,1.2465,False,6.016478965991644,6.889275057995347,23.456171
S,1,bottom-up,P2/m,2/m,monoclinic,0.0,False,3.0840543254479686,3.862831799031381,21.823423
N2,1,bottom-up,Pmna,mmm,orthorhombic,0.0,False,2.16223747,4.97348112,22.120631
P,1,bottom-up,P2_1/m,2/m,monoclinic,0.10780000000000012,False,3.46889832,4.18061746,23.344567
Sb,1,bottom-up,Pbam,mmm,orthorhombic,0.0,False,5.89614832,7.6492124,24.520602
Ba,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,5.930819689091977,5.9308194291754575,20.0
Sb,1,bottom-up,Pm,m,monoclinic,0.9075,False,6.646953477559328,7.708243852769326,23.456171
Si,1,bottom-up,Cmmm,mmm,orthorhombic,0.0,False,6.698897047098926,6.698897223567678,22.476621
As,1,bottom-up,Pbam,mmm,orthorhombic,0.0,False,4.75465312,7.46366431,24.520602
Bi,1,bottom-up,Pm,m,monoclinic,0.7056,False,6.646649148434283,8.083225944868477,23.456171
Al,1,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,2.706965272440224,2.70705611099709,20.0
B,1,bottom-up,Pmma,mmm,orthorhombic,0.0,False,3.70526996,1.603298,22.343883
Si,1,bottom-up,P-3m1,-3m,trigonal,0.0,False,2.78170132,2.7817021523710865,22.485215
Sn,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.975029560046946,2.9750296466478527,20.0
Pb,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.123298281635341,3.123298560224836,20.0
S,1,bottom-up,P4/mmm,mmm,tetragonal,0.0,False,2.37201393,4.76498843,19.985261
Ge,1,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.03077379,3.030774215953917,22.485215
P,1,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.59123592,3.59012997,23.788442
In,1,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,3.1993011800000404,3.1992984455858644,20.0
F2,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,1.9779105607491545,1.9779105833670747,20.0
Pt,1,bottom-up,P-3m1,2/m,trigonal,0.0,False,2.693756730230343,4.6658434760559535,22.024152
Si,1,bottom-up,Pmmm,mmm,orthorhombic,0.0,False,4.5521029091477505,4.5521030340525614,22.532188
F2,1,bottom-up,Pbam,mmm,orthorhombic,2.8545,False,3.5851717,6.2011204,19.861582
N2,1,bottom-up,Pmna,mmm,orthorhombic,0.0,False,2.17794719,3.2717692,22.423865
Be,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.8020331002592553,2.8020332115184603,20.0
N2,1,bottom-up,Pm,m,monoclinic,1.9918999999999998,False,3.9422049213619106,6.574889301766121,23.456171
Si,1,bottom-up,P6/mmm,6/mmm,hexagonal,0.00010000000000021103,True,3.916020380645271,3.915983683236087,23.996075
Tl,1,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,3.2922091839946357,3.292039317369017,20.0
P,1,bottom-up,Pbam,mmm,orthorhombic,0.0,False,4.365181794130643,7.433717537045119,24.520602
N2,1,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,2.1814432888560353,3.241969014033374,23.344567
Sn,1,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,4.782450265432114,4.794708123732308,19.996729
Fe3GeTe2,3,from-literature,P-6m2,-6m2,hexagonal,0.0,False,4.04538102,4.045382102765062,25.219689
Si2BN,3,from-literature,Cmmm,mmm,orthorhombic,0.022399999999999753,False,6.368559000194085,6.456246496860532,20.0
MoCl5,2,bottom-up,Pmma,mmm,orthorhombic,0.0,False,3.208479617159923,16.55939651021295,23.526092
PbSe2,2,bottom-up,P-4m2,-42m,tetragonal,0.2820999999999998,False,4.06559936,4.06559936,22.855457
SeN,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.92011983,3.92011983,21.297207
HgO,2,bottom-up,P-6m2,-6m2,hexagonal,0.2519,False,3.76906678,3.7690664941769674,20.634921
ZnAs,2,bottom-up,Amm2,mm2,orthorhombic,0.0,False,4.207552006409949,4.207552084736565,20.274504
TbAs2,2,bottom-up,C222,222,orthorhombic,0.0,False,3.16659607,3.361181229693534,24.923409
Al2Te3,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.02659155,4.026591699311552,26.980377
GaNi2,2,bottom-up,P-6m2,-6m2,hexagonal,0.0,False,2.679351510363749,2.6793519670445005,22.780419
ScSn5,2,bottom-up,Pmmm,mmm,orthorhombic,0.0,False,3.27020544,6.14401591,23.460598
ZnTe,2,bottom-up,P3m1,3m,trigonal,1.3437999999999999,False,4.42324742,4.4232471403223155,20.16693
Al3Os2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.07173875,3.07173875,25.544133
CaBi,2,bottom-up,Pmm2,mm2,orthorhombic,0.0,False,3.59161976,5.89820206,27.11141
SrBi,2,bottom-up,Pmm2,mm2,orthorhombic,0.0,False,3.76096679,6.20788596,27.11141
ZnS,2,bottom-up,P3m1,3m,trigonal,2.5839,True,3.88045992,3.8804597302648074,20.16693
DyAs2,2,bottom-up,C222,222,orthorhombic,0.0,False,3.1538671100000006,3.343122850621641,24.915313
TbSn2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.78315751,3.78315751,22.621078
Ni2B,2,bottom-up,P-6m2,-6m2,hexagonal,0.0,False,2.524400341426721,2.5244007319736945,22.780419
YAs2,2,bottom-up,C222,222,orthorhombic,0.0,False,3.20812665,3.4956794651265617,24.904261
Tl2Se3,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.10852609,4.108526255298046,26.980377
